OSM_ID,Street_Name,Latitude,Longitude,Category
38361927,Ahmedia Place,-29.8515846,30.9726759,English
48408160,Ahmedys Lane,-29.6348154,31.1283136,English
48408147,Ahmedys Street,-29.6376695,31.1262548,English
45242203,Ahrens Road,-29.929639,30.9971684,English
45242204,Aiken Place,-29.8963071,31.027315,English
54750137,Aiken Street,-30.7423032,30.4552093,English
48782487,Ailsa Avenue,-29.8589946,31.0028104,English
45881131,Ainsbury Place,-29.7079549,31.0258775,English
43672112,Airborne Road,-29.9106242,30.860995,English
45242205,Airlie Road,-29.9335647,31.0099404,English
192951488,Airstrip Road,-29.824878,30.5430597,English
94508060,Airth Street,-30.2859629,30.7515108,English
45094589,Ajmar Road,-30.2067907,30.7654163,English
45082563,Ajmer Road,-29.9522643,30.968887,English
95553226,Akbar Place,-29.5448182,30.3983961,English
44470217,Akker Road,-30.0868847,30.8529683,English
45082564,Alabama Road,-29.9433888,30.9825436,English
193666054,Alabaster Drive,-29.5514064,30.4286601,English
44446255,Alamein Avenue,-29.9296286,30.957311,English
56016045,Alamein Drive,-30.7447248,30.4467878,English
61480673,Alamen Street,-30.8363876,30.3761771,English
125860218,Alan Bean Place,-28.7584677,31.8886545,English
92036512,Alan Ford Close,-29.6207822,30.4371164,English
55884138,Alan Paton Avenue,-29.613642,30.3916267,English
37960193,Alan Paton Road,-29.8599432,30.9904871,English
167796729,Alan Road,-30.8301925,30.3930532,English
44358819,Alandene Place,-29.7776175,30.9329563,English
44103478,Alaskan Street,-29.8814284,30.862659,English
332814697,Albacore Road,-29.3661644,31.3470726,English
27454413,Albacore Street,-28.3809049,32.4106823,English
118936104,Albany Road,-29.6142217,30.317034,English
760906488,Albany Street,-30.3299739,30.6592865,English
327100644,Albatross Lane,-29.5400875,31.1988957,English
94093579,Albatross Street,-27.7235501,29.9183692,English
42896989,Albers Road,-29.8404614,30.874022,English
77724086,Albersville Road,-30.7255855,30.4405102,English
437326819,Albert Luthuli Drive,-28.6414855,29.887278,English
43756435,Albert Madikizela Street,-29.7893976,30.9068423,English
59595583,Albert Meyer Drive,-30.8081094,30.4109996,English
89176313,Albert Oliff Road,-29.6243471,30.4259112,English
42897088,Albert Road,-29.8234585,30.8356065,English
47945892,Albert Street,-29.736618,30.6706943,English
202406431,Albert Wessels Drive,-27.7668278,29.9433736,English
61046790,Albertina Way,-29.5304917,31.2013271,English
809078070,Albinia Road,-29.7648459,30.7765592,English
48667462,Albion Place,-29.8212027,31.0222459,English
87361228,Albizia Avenue,-28.749012,32.0592041,English
149721547,Albizia Close,-29.5189346,31.221698,English
706914225,Albizia Drive,-29.5691291,30.3356822,English
41571071,Albizia Place,-29.8226103,30.937069,English
45445440,Albizia Road,-29.7147132,31.0699215,English
442919959,Albizia Street,-28.6018639,32.0832338,English
87265690,Albrecht Street,-28.5457072,29.7915604,English
697025625,Albus Street,-29.8392002,30.8837198,English
45242206,Alden Road,-29.918728,31.0007405,English
45668843,Alder Close,-29.6513493,31.0014451,English
45880962,Aldergate Avenue,-29.729032,31.0314915,English
45882395,Alderham Place,-29.6873893,30.9882008,English
48190235,Alec Bean Road,-29.6304027,31.0565111,English
804217287,Alek Close,-29.7874185,30.9328245,English
55904231,Alesund Road,-30.7561717,30.4355944,English
42644300,Aletta Place,-29.8763628,30.889324,English
45094485,Alex Way,-30.1936291,30.7442026,English
42644296,Alexander Avenue,-29.8532024,30.8894006,English
94084536,Alexander Biggar Avenue,-27.7388001,29.9540221,English
