Street,Ground Truth,DTW Distance,Normalized DTW,Similarity,System Pitch,Ground Truth Pitch,System Duration,Ground Truth Duration,System Energy,Ground Truth Energy
Baphelabantu_Street,gt1.wav,15002.031164807875,174.4422228466032,0.005699882182149184,171.78622689090568,175.0513819140598,1.152,2.7375,0.1220938190817833,0.05179912969470024
Baphelabantu_Street,gt2.wav,16841.74446099238,177.28152064202507,0.005609106296596602,171.78622689090568,165.77979934690975,1.152,3.015,0.1220938190817833,0.046384476125240326
Baphelabantu_Street,gt3.wav,28956.605179201946,256.25314317877826,0.003887221697831887,171.78622689090568,107.33552425691738,1.152,3.6,0.1220938190817833,0.021367233246564865
Baphelabantu_Street,gt4.wav,21647.751474627832,178.9070369803953,0.005558426267166921,171.78622689090568,204.39905369352275,1.152,3.8475,0.1220938190817833,0.044017624109983444
Baphelabantu_Street,gt5.wav,13545.064458245131,169.31330572806414,0.005871531855512687,171.78622689090568,236.2784898168946,1.152,2.52,0.1220938190817833,0.13005419075489044
Baphelabantu_Street,gt6.wav,21248.660526740176,268.9703864144326,0.003704109970287245,171.78622689090568,124.88668490619806,1.152,2.52,0.1220938190817833,0.01943284645676613
Baphelabantu_Street,gt7.wav,17822.41451186434,178.22414511864338,0.00557960535584096,171.78622689090568,140.69403189928929,1.152,3.18,0.1220938190817833,0.07544121891260147
Chakide_Road,gt1.wav,20681.805891523516,198.86351818772613,0.0050034143753074954,196.8043365176246,189.79011156368335,0.896,3.23,0.1768409162759781,0.034589216113090515
Chakide_Road,gt2.wav,23795.469741685483,216.32245219714076,0.00460145737308755,196.8043365176246,163.85222278275367,0.896,3.3575,0.1768409162759781,0.04386688768863678
Chakide_Road,gt3.wav,18702.95983028838,267.1851404326911,0.003728767367150154,196.8043365176246,133.13879234544154,0.896,2.22,0.1768409162759781,0.028457166627049446
Chakide_Road,gt4.wav,15654.451087916517,195.68063859895648,0.005084384549101752,196.8043365176246,240.4455095170326,0.896,2.1,0.1768409162759781,0.04425762593746185
Chakide_Road,gt6.wav,18605.830317675525,265.7975759667932,0.003748159991245439,196.8043365176246,123.58821229300533,0.896,2.22,0.1768409162759781,0.0294930562376976
Dlangisa_Avenue,gt1.wav,17388.49262097798,199.86773127560897,0.0049784004312166405,196.11141740396414,148.84659959980516,0.928,2.76,0.19725967943668365,0.05066695064306259
Dlangisa_Avenue,gt2.wav,47697.785922525596,307.72765111306836,0.0032391008592675755,196.11141740396414,164.44409429714923,0.928,4.93,0.19725967943668365,0.005643282551318407
Dlangisa_Avenue,gt3.wav,23623.37956078349,222.86207132814613,0.004467036305288891,196.11141740396414,161.90265829433082,0.928,3.3575,0.19725967943668365,0.06386705487966537
Dlangisa_Avenue,gt4.wav,38595.652160833175,292.39130424873616,0.003408417309983405,196.11141740396414,87.80182423479846,0.928,4.2,0.19725967943668365,0.023820027709007263
Dlangisa_Avenue,gt5.wav,19606.18167261769,257.97607463970644,0.0038613605576933055,196.11141740396414,86.83265075188288,0.928,2.4,0.19725967943668365,0.037090834230184555
Emthethweni_Road,gt1.wav,31370.30821474514,230.66403099077309,0.00431659587257993,187.66110358494686,132.25186394214882,1.024,4.32,0.15442553162574768,0.01958942785859108
Emthethweni_Road,gt2.wav,17145.960482688057,244.9422926098294,0.004065994463125671,187.66110358494686,94.59424674693186,1.024,2.22,0.15442553162574768,0.052291691303253174
Emthethweni_Road,gt3.wav,17436.232865040478,177.9207435208212,0.005589066870178913,187.66110358494686,183.94362422097643,1.024,3.1225,0.15442553162574768,0.05770166218280792
Emthethweni_Road,gt4.wav,19423.90741331864,192.31591498335288,0.005172879843266466,187.66110358494686,170.73790845352343,1.024,3.2075,0.15442553162574768,0.057103246450424194
Ezalukazini_Avenue,gt1.wav,34769.23682544804,271.6346626988128,0.0036679121799883833,198.61701659840764,168.50979215962408,1.2586875,4.095,0.20564046502113342,0.006239249370992184
