Street,Ground Truth,DTW Distance,Normalized DTW,Similarity,System Pitch,Ground Truth Pitch,System Duration,Ground Truth Duration,System Energy,Ground Truth Energy,PAS
Imvubu_Lane,gt1.wav,18270.87635528278,196.46103607830943,0.0050642902511836,185.8420206548467,167.5493569785813,0.992,2.93,0.2430287599563598,0.0705990046262741,0.50642902511836
Imvubu_Lane,gt2.wav,25067.37949177434,275.46570870081695,0.0036170851159055,185.8420206548467,137.53240707515542,0.992,2.88,0.2430287599563598,0.0198525395244359,0.36170851159055
Imvubu_Lane,gt3.wav,10673.689735062557,156.96602551562583,0.0063304751558814,185.8420206548467,208.15555015757477,0.992,1.98,0.2430287599563598,0.1477652639150619,0.63304751558814
Imvubu_Lane,gt4.wav,20523.6868558853,259.7935045048772,0.0038344513292174,185.8420206548467,97.82697886814438,0.992,2.52,0.2430287599563598,0.040810827165842,0.38344513292174
Imvubu_Lane,gt5.wav,20733.01630849713,232.9552394213161,0.0042743218851327,185.8420206548467,106.09835113740984,0.992,2.82,0.2430287599563598,0.0202597379684448,0.42743218851327
Imvubu_Lane,gt6.wav,16732.068533204147,201.5911871470379,0.0049360488680794,185.8420206548467,191.2158731760752,0.992,2.6525,0.2430287599563598,0.067737266421318,0.49360488680794
Isandlwana_Street,gt1.wav,17922.625480232888,177.4517374280484,0.0056037560318133,164.3729738104062,146.37520894787616,1.184,3.23,0.1612315624952316,0.0477384403347969,0.56037560318133
Isandlwana_Street,gt2.wav,11321.979758540469,148.97341787553245,0.0066678483038236,164.3729738104062,120.8270984570734,1.184,2.34,0.1612315624952316,0.0640640705823898,0.6667848303823599
Isandlwana_Street,gt3.wav,19826.90833815335,185.2982087677883,0.0053677381366905,164.3729738104062,221.6802698902008,1.184,3.36,0.1612315624952316,0.0426560975611209,0.53677381366905
Isandlwana_Street,gt4.wav,16653.42713566488,208.16783919581096,0.0047808496939333,164.3729738104062,223.6680559670456,1.184,2.28,0.1612315624952316,0.0323609858751297,0.47808496939333
Khuzimpi_Shezi_Road,gt1.wav,25767.704422497485,204.50559065474195,0.0048660476671899,193.39716162303225,168.87012455983364,1.429375,4.0175,0.2084165960550308,0.0510434545576572,0.48660476671899
Khuzimpi_Shezi_Road,gt2.wav,25830.555986698444,253.2407449676318,0.0039332798530279,193.39716162303225,219.44477774017855,1.429375,3.24,0.2084165960550308,0.0649375990033149,0.39332798530278995
Khuzimpi_Shezi_Road,gt3.wav,26560.0439059235,212.480351247388,0.0046842718505796,193.39716162303225,188.52290224460324,1.429375,3.9975,0.2084165960550308,0.048337984830141,0.46842718505796
Khuzimpi_Shezi_Road,gt4.wav,29857.13189654932,226.19039315567667,0.0044015945661697,193.39716162303225,142.1192558528001,1.429375,4.2,0.2084165960550308,0.0501437410712242,0.44015945661697
Khuzimpi_Shezi_Road,gt5.wav,16849.605628629728,170.19803665282552,0.0058411884829492,193.39716162303225,105.3028816382197,1.429375,3.0,0.2084165960550308,0.0558251030743122,0.58411884829492
Mabele_Road,gt1.wav,14181.053551755882,184.1695266461803,0.0054004566416092,168.90301055811855,175.7888778805778,0.768,2.46,0.1675402522087097,0.0722504779696464,0.54004566416092
Mabele_Road,gt2.wav,8917.934534621363,156.45499183546252,0.0063510212559344,168.90301055811855,193.2318153367476,0.768,1.8,0.1675402522087097,0.1593483835458755,0.6351021255934399
Mabele_Road,gt3.wav,13924.956338445369,244.2974796218485,0.0040766827345376,168.90301055811855,112.4558325378852,0.768,1.8,0.1675402522087097,0.0309121794998645,0.40766827345376
Mabele_Road,gt4.wav,17330.169651994765,180.52260054161212,0.0055089558931851,168.90301055811855,171.84433928984262,0.768,3.0575,0.1675402522087097,0.056375429034233,0.55089558931851
Mabele_Road,gt5.wav,14678.7564953718,229.3555702401844,0.0043411149075202,168.90301055811855,103.96677053453678,0.768,2.04,0.1675402522087097,0.0405172705650329,0.43411149075202
Mabele_Road,gt6.wav,15671.526083859511,186.5657867126133,0.0053314627231681,168.90301055811855,275.2985635354808,0.768,2.52,0.1675402522087097,0.053410530090332,0.53314627231681
Mabele_Road,gt7.wav,14807.518412728848,192.30543393154343,0.0051731603176459,168.90301055811855,124.97209162559588,0.768,2.46,0.1675402522087097,0.0278806928545236,0.51731603176459
Mandlendlovu_Road,gt1.wav,19927.184229533847,223.9009463992567,0.0044464019205359,188.5954360036341,227.73389591474984,1.088,2.82,0.2067582607269287,0.0710852667689323,0.44464019205359
Mandlendlovu_Road,gt2.wav,21380.50108009577,277.668845196049,0.0035884886927222,188.5954360036341,115.70177830975986,1.088,2.46,0.2067582607269287,0.0301855411380529,0.35884886927222
Mandlendlovu_Road,gt3.wav,16808.644134068287,284.89227345878453,0.0034978210075487,188.5954360036341,123.523853951454,1.088,1.86,0.2067582607269287,0.0335815995931625,0.34978210075487
Mandlendlovu_Road,gt4.wav,17701.603799707424,201.1545886330389,0.0049467093809839,188.5954360036341,155.68785803639364,1.088,2.8025,0.2067582607269287,0.0644935891032219,0.49467093809839
Mandlendlovu_Road,gt5.wav,18894.364990376267,192.7996427589415,0.0051599682319531,188.5954360036341,144.5728005487102,1.088,3.1225,0.2067582607269287,0.0646598786115646,0.51599682319531
Mandlendlovu_Road,gt6.wav,18894.364990376267,192.7996427589415,0.0051599682319531,188.5954360036341,144.5728005487102,1.088,3.1225,0.2067582607269287,0.0646598786115646,0.51599682319531
Mandlendlovu_Road,gt7.wav,26424.31408660553,249.2859819491088,0.0039954295171166,188.5954360036341,204.3363497670551,1.088,3.36,0.2067582607269287,0.0493246652185916,0.39954295171166004
Mbokodo_Road,gt1.wav,18322.653020288795,177.8898351484349,0.0055900325424876,188.4589245829225,186.82491527659676,1.024,3.2725,0.2388097792863845,0.0665987208485603,0.55900325424876
Mbokodo_Road,gt2.wav,41585.86674725604,214.36013787245383,0.0046433848430773,188.4589245829225,101.92750646297938,1.024,6.18,0.2388097792863845,0.0232573337852954,0.46433848430773
Mbokodo_Road,gt3.wav,10244.417594356908,179.7266244624019,0.0055332190427096,188.4589245829225,185.40911209474075,1.024,1.8,0.2388097792863845,0.1714607328176498,0.5533219042709601
Mbokodo_Road,gt4.wav,11938.480451236754,234.0878519850344,0.0042537289424196,188.4589245829225,97.2222365519311,1.024,1.62,0.2388097792863845,0.0527883730828762,0.42537289424196
Mbokodo_Road,gt5.wav,16397.784779385394,212.958243888122,0.0046738091593371,188.4589245829225,194.12366756152363,1.024,2.46,0.2388097792863845,0.0701915472745895,0.46738091593371
Mbonini_Road,gt1.wav,14967.684079149843,226.78309210833095,0.0043901414751381,188.58761543044244,85.87651878367969,0.896,2.1,0.1637866050004959,0.0384237319231033,0.43901414751381
Mbonini_Road,gt2.wav,18747.036804537434,178.54320766226127,0.0055696899538583,188.58761543044244,185.8896240216748,0.896,3.335,0.1637866050004959,0.0574883744120597,0.55696899538583
Mbonini_Road,gt3.wav,16415.371142733693,176.50936712616874,0.0056335055224957,188.58761543044244,158.19927286127498,0.896,2.9525,0.1637866050004959,0.0587091855704784,0.56335055224957
Mbonini_Road,gt4.wav,18202.51312782015,195.72594761096937,0.0050832135371259,188.58761543044244,277.146255474362,0.896,2.82,0.1637866050004959,0.0710134580731391,0.50832135371259
Mbonini_Road,gt5.wav,19961.43939570071,210.1204146915864,0.0047366333637646,188.58761543044244,169.02812484796212,0.896,3.0375,0.1637866050004959,0.0401569306850433,0.47366333637645996
Mbonini_Road,gt6.wav,14955.834590709965,155.7899436532288,0.0063779600700137,188.58761543044244,116.72717768184104,0.896,3.06,0.1637866050004959,0.080127328634262,0.63779600700137
Mbonini_Road,gt7.wav,15021.931628478456,246.26117423735167,0.0040443066044816,188.58761543044244,109.55183840586388,0.896,1.92,0.1637866050004959,0.0355836413800716,0.40443066044816
Mgaga_Road,gt1.wav,21740.424215552102,224.12808469641345,0.0044419158158277,194.40535637010453,164.090557302163,0.672,3.1,0.1533850282430648,0.0355808697640895,0.44419158158277
Mgaga_Road,gt2.wav,34872.799534779566,268.252304113689,0.0037139886445605,194.40535637010453,132.21261114663065,0.672,4.14,0.1533850282430648,0.0160912778228521,0.37139886445605
Mgaga_Road,gt3.wav,16355.862685900189,255.56035446719045,0.0038977183441952,194.40535637010453,89.47427089459339,0.672,2.04,0.1533850282430648,0.0385031923651695,0.38977183441951996
Mgaga_Road,gt4.wav,24366.60988490077,267.7649437901183,0.0037207233424791,194.40535637010453,132.5617354327807,0.672,2.88,0.1533850282430648,0.0132313249632716,0.37207233424791003
Mgaga_Road,gt5.wav,21523.58470065078,239.150941118342,0.0041640478081958,194.40535637010453,249.1458768045831,0.672,2.82,0.1533850282430648,0.0547933727502822,0.41640478081958
Mgaga_Road,gt6.wav,34872.799534779566,268.252304113689,0.0037139886445605,194.40535637010453,132.21261114663065,0.672,4.14,0.1533850282430648,0.0160912778228521,0.37139886445605
