OSM_ID,Street_Name,Latitude,Longitude,Category
47711059,Mpophoma Road,-29.712591,30.9501094,English
44651731,Mpumelelo Street,-29.841968,30.7730649,English
953539026,Msebeni Street,-28.8919842,31.4950679,English
43982306,Msobo Place,-30.0049921,30.8374288,English
47998574,Mthethwa Road,-29.8138363,30.6131116,English
437741051,Mthiyane Avenue,-29.7260977,30.9441111,English
116634480,Mthunzi Street,-29.4921237,30.229314,English
437741077,Mtoti Street,-29.7219484,30.955361,English
47998702,Mvelase Road,-29.8244357,30.6348337,English
706488657,Mvoti Road,-29.7547875,30.9431474,English
43910956,Mvubu Road,-29.7411112,30.9753634,English
47711227,Mvukuzane Close,-29.7130591,30.9573591,English
43025962,Mwelase Road,-29.8509766,30.949819,English
44358776,Mxamalala Street,-29.7761281,30.9303786,English
44651743,Mzabalazo Street,-29.8605633,30.7671968,English
45880396,Mzala Place,-29.7314758,31.0139091,English
814975922,Mzilikazi Street,-28.2746947,31.4417491,English
52086631,Mzimela Street,-27.7802087,30.8234585,English
44214937,Mzwandile Close,-29.9910262,30.8831923,English
863501878,Ncome Street,-28.8765984,31.8967009,English
193108146,Ndaba Road,-29.6359632,30.329931,English
43982331,Ndabezitha Road,-29.9908004,30.8250028,English
43911357,Ndabuko Road,-29.7386835,30.9970444,English
94352168,Njabulo Street,-28.5784449,29.8291962,English
44103556,Njomane Street,-29.8484255,30.8556047,English
510260469,Nomponjwana Road,-29.6533888,30.3055333,English
186624123,Nondaba Street,-28.8922954,31.4950679,English
43910709,Nquthu Road,-29.760307,30.9848861,English
438367695,Nxala Road,-29.6635904,30.3448411,English
98639950,Nxele Street,-29.600737,30.4222235,English
47712156,Nxumalo Road,-29.7123329,30.9714909,English
44214638,Nyamazane Street,-29.947745,30.8642132,English
437283426,Nyathi Street,-28.6033447,29.92504,English
125138528,Nyezane Street,-28.8754951,31.8994773,English
812767543,Nyokana Road,-30.5467123,29.4409577,English
45096407,Nyonikayiphumuli Road,-30.1722116,30.7628094,English
44215280,Nyosi Lane,-29.9646395,30.8613163,English
52465487,Nzima Street,-27.9903516,30.7214136,English
43911328,Nzimande Road,-29.7389495,30.98456,English
52086581,Nzuza Street,-27.7860183,30.8225111,English
48206017,Ogodweni Road,-29.6742602,30.9147184,English
437741048,Onogwaja Avenue,-29.7237028,30.9418904,English
58516452,Osizweni Lane,-29.7646029,30.8831135,English
47998642,Phakathwayo Road,-29.8014013,30.6225546,English
198051920,Phaphama Road,-29.1303215,31.3883119,English
44069769,Phenduka Drive,-30.0598849,30.825266,English
45096509,Phephetha Road,-30.171776,30.7680763,English
47711107,Pheza Road,-29.7130249,30.9460909,English
47710909,Phezulu Road,-29.7076202,30.939968,English
44214235,Phila Ndwandwe Road,-29.9633838,30.8796811,English
43886971,Phumelela Close,-29.7654508,30.9896335,English
44102602,Phumphele Street,-29.8734355,30.8315269,English
39739616,Phumula Street,-29.856158,30.9592273,English
47710934,Qedusizi Road,-29.7068412,30.9418425,English
198038355,Qhakaza Street,-28.8725876,31.9152603,English
438259538,Qhikiza Road,-29.7506861,30.9327479,English
437328016,Qholwane Road,-28.6324697,29.8827593,English
44214303,Qhude Road,-29.9627154,30.8583825,English
437283417,Qina Street,-28.6057855,29.9284132,English
44099887,Qiniseka Close,-29.8893387,30.8467946,English
94343552,Qwabe Street,-28.7388476,29.8411269,English
44099727,S. Gwala Street,-29.8841282,30.8196444,English
44214304,S. Mchunu Drive,-29.9487992,30.9112642,English
47711251,Savumelana Close,-29.712078,30.9526497,English
44214216,Sbonakaliso Mchunu Street,-29.9690527,30.8982271,English
44358808,Sboniso Madondo Street,-29.7744637,30.9307504,English
47710951,Sekunjalo Road,-29.7178602,30.9607366,English
94333081,Sekusile Street,-28.5814271,29.826527,English
43982481,Sfiso Buthelezi Street,-29.9948082,30.8206049,English
44452135,Sfiso Xaba Lane,-30.0221775,30.8645835,English
44215716,Sgananda Avenue,-29.9874901,30.8793005,English
47998548,Sibiya Road,-29.8090998,30.6038915,English
437725040,Sicelo Road,-29.7176949,30.9456888,English
437283434,Sicephu Street,-28.6074738,29.9211459,English
43911363,Sigananda Road,-29.7354514,30.9943929,English
438051860,Sigodo Road,-29.7492428,30.9411116,English
44215143,Sigonyela Road,-29.9638454,30.8539928,English
44215091,Sigujana Road,-29.9851409,30.8689803,English
45880294,Simunye Avenue,-29.7420634,31.0166269,English
124891278,Sinamuva Drive,-29.7150151,30.952749,English
44215131,Sinqandu Road,-29.9690067,30.8502583,English
198038328,Siqophamithi Street,-28.8807909,31.9007606,English
43911227,Sivumelwane Road,-29.7474285,30.9946192,English
44215101,Siyabusa Drive,-29.9627279,30.9195477,English
39739639,Siyanda Road,-29.8552281,30.9604627,English
47711149,Siyanqoba Road,-29.7106111,30.9416462,English
44102932,Siyathuthuka Road,-29.8670257,30.8452753,English
47710998,Siyavuma Road,-29.7180509,30.9588623,English
47711109,Siyazama Road,-29.7133961,30.9456566,English
44103541,Sizanani Street,-29.8641597,30.8611207,English
43982890,Sizanendaba Road,-30.0030721,30.8340653,English
438266524,Sizimele Lane,-29.7234917,30.9660979,English
1138473756,Sizithulele Lane,-29.781787,30.8979166,English
44215116,Slindile Nzama Drive,-29.9611624,30.926857,English
438371745,Smilo Road,-29.6508027,30.3640684,English
437314956,Sompisi Street,-28.6212001,29.9337049,English
44215876,Sqopha Avenue,-29.9585859,30.8633416,English
43982884,Sqothu Street,-29.9969761,30.8252105,English
44216867,Sukuma Road,-29.9743816,30.8733915,English
44216331,Thandolwethu Close,-29.9546609,30.9103434,English
48392991,Thandukwazi Road,-29.5569757,31.1203329,English
198038457,Thokozani Street,-28.8672959,31.9084231,English
43751927,Tholakele Avenue,-29.7812955,30.8988084,English
772117243,Tholimpilo Road,-28.7726013,31.8618382,English
44215948,Tholulwazi Close,-29.9579943,30.8963476,English
857153066,Thula Hadebe Close,-29.8650569,30.9520098,English
45446065,Thulani Mncwabe Close,-29.6671998,31.0658079,English
47711069,Thulani Road,-29.715596,30.9448914,English
43982879,Thulasizwe Street,-29.9957734,30.8270156,English
47711354,Thumamina Way,-29.723021,30.9685699,English
52086651,Thusi Street,-27.7764694,30.8251562,English
803227756,Thusini Road,-29.7533747,30.935485,English
43887058,Thuthukani Street,-29.7618044,30.9946988,English
126136509,Thwala Road,-29.6555293,30.3389245,English
44216858,Velakuqala Drive,-29.9616702,30.9175816,English
44103512,Velaphi Street,-29.8673646,30.8586483,English
44216861,Veni Yeni Road,-29.9593663,30.9158489,English
43672350,Vezi Street,-29.9018715,30.8765042,English
94333113,Vilakazi Street,-28.5749114,29.8286212,English
47710960,Vukani Road,-29.7180525,30.9445682,English
43982865,Vumandaba Street,-29.9960361,30.8273444,English
47711102,Vumelani Road,-29.7170813,30.9474373,English
44461795,Vumile Close,-30.0071664,30.8864355,English
43751990,Vuselela Drive,-29.7758074,30.90169,English
43982479,Vusi Magubane Way,-29.9951498,30.8206977,English
43982476,Vusi Manzi Street,-29.993777,30.8169649,English
44370640,Vusi Mzimela Road,-29.8488759,30.978839,English
43910684,Vuthwane Road,-29.7549927,30.9727402,English
44103412,Xaba Road,-29.8772632,30.8525422,English
438303322,Xalani Road,-29.7589652,30.9483053,English
43982800,Xamu Road,-30.0017134,30.8263126,English
52086645,Xhakaza Street,-27.7774849,30.820549,English
44214047,Xolani Memela Road,-29.9548857,30.9154113,English
43982485,Xolani Mthethewa Street,-29.994942,30.817792,English
43911235,Xolani Road,-29.7454606,30.9931246,English
44102889,Xolisa Close,-29.8754998,30.8471612,English
44214005,Xolo Avenue,-29.9668541,30.8847747,English
44214046,Xulu Road,-29.9623902,30.8604692,English
44427092,Yeni Road,-29.9455094,30.9455266,English
43752141,Yigwababa Avenue,-29.7680619,30.9160843,English
47710844,Zabalaza Road,-29.7102538,30.9347298,English
706498727,Zakwethu Road,-29.7541466,30.9483892,English
39739619,Zama Zama Street,-29.8565046,30.9588483,English
179338297,Zamani Street,-28.2020981,30.1617899,English
186628955,Zamimpilo Road,-28.8817127,31.4821819,English
43886912,Zenzele Road,-29.7673494,30.9904507,English
803233875,Zezwe Road,-29.7474595,30.9305228,English
803233877,Zibalo Road,-29.7470797,30.9314895,English
47998657,Zibuse Road,-29.8195688,30.6520358,English
47712511,Zicelele Nyawuza Way,-29.7017448,30.9674063,English
198035148,Zigabise Road,-28.7692433,31.8655848,English
44215410,Zigqaje Road,-29.9634047,30.8676814,English
44530607,Ziko Road,-30.0326572,30.8761506,English
44102150,Zilweleni Road,-29.8707063,30.7870488,English
437725036,Zimnene Road,-29.7226118,30.9482382,English
117083367,Zimtoti Road,-28.7839157,31.8559398,English
47710691,Zinyane Road,-29.7129407,30.9353758,English
438019317,Ziphelele Road,-29.7502999,30.9305276,English
437741074,Ziphethe Street,-29.7238567,30.9468341,English
44103634,Ziqubu Street,-29.8469153,30.8600409,English
44214250,Zithulelemama Road,-29.9650846,30.9079688,English
44099827,Zodwa Madondo Street,-29.8874241,30.8327808,English
43982470,Zolani Zulu Street,-29.9957443,30.818591,English
1358665172,Zondi Road,-29.8087566,30.6142141,English
43910787,Zulu Road,-29.7364774,30.9820366,English
804292993,Zululami Drive,-29.4751663,31.2542348,English
94333321,Zuma Street,-28.5691754,29.8288847,English
863744470,Zwakala Road,-28.7749883,31.8628232,English
43887170,Zwele Street,-29.7420485,31.0184566,English
44099281,Zwelethu Road,-29.8853113,30.8057003,English
44214252,Zwelibanzi Road,-29.9515989,30.8640811,English
44214208,Zwelinjani Sibiya Road,-29.9506224,30.8953362,English
442818354,Zwide Street,-28.2781397,31.4429461,English
44069831,Amabutho Close,-30.0662231,30.8344388,Likely_IsiZulu
437741090,Amachwane Avenue,-29.7295352,30.9517835,Likely_IsiZulu
43910844,Amadada Crescent,-29.7354283,30.9600283,Likely_IsiZulu
437741087,Amagwababa Avenue,-29.7277829,30.9514621,Likely_IsiZulu
44215045,Amahubo Lane,-29.9588887,30.8914849,Likely_IsiZulu
94063056,Amajuba Street,-27.7630458,29.9297523,Likely_IsiZulu
43910843,Amakhono Close,-29.7357348,30.9568162,Likely_IsiZulu
44215389,Amalahle Lane,-29.9905895,30.8718215,Likely_IsiZulu
44216181,Amalombo Lane,-30.0034961,30.8829367,Likely_IsiZulu
43910746,Amandawe Road,-29.7545087,30.9865808,Likely_IsiZulu
47998513,Amandla Road,-29.8177698,30.6266055,Likely_IsiZulu
437988960,Amanqe Avenue,-29.7213408,30.9384942,Likely_IsiZulu
